origin,cylinders,displacement,horsepower,weight,acceleration,year,name,Mileage
1,6,225.0,100,3651,17.7,1976,dodge aspen se,20.00003542864229
1,6,250.0,78,3574,21.0,1976,ford granada ghia,18.000031885778057
1,6,250.0,110,3645,16.2,1976,pontiac ventura sj,18.500032771494116
1,6,258.0,95,3193,17.8,1976,amc pacer d/l,17.500031000062002
2,4,97.0,71,1825,12.2,1976,volkswagen rabbit,29.500052257247372
3,4,85.0,70,1990,17.0,1976,datsun b-210,32.00005668582766
3,4,97.0,75,2155,16.4,1976,toyota corolla,28.000049600099192
1,4,140.0,72,2565,13.6,1976,ford pinto,26.500046942951034
2,4,130.0,102,3150,15.7,1976,volvo 245,20.00003542864229
1,8,318.0,150,3940,13.2,1976,plymouth volare premier v8,13.000023028617486
2,4,120.0,88,3270,21.9,1976,peugeot 504,19.00003365721017
3,6,156.0,108,2930,15.5,1976,toyota mark ii,19.00003365721017
2,6,168.0,120,3820,16.7,1976,mercedes-benz 280s,16.500029228629888
1,8,350.0,180,4380,12.1,1976,cadillac seville,16.500029228629888
1,8,350.0,145,4055,12.0,1976,chevy c10,13.000023028617486
1,8,302.0,130,3870,15.0,1976,ford f108,13.000023028617486
1,8,318.0,150,3755,14.0,1976,dodge d100,13.000023028617486
3,4,98.0,68,2045,18.5,1977,honda accord cvcc,31.5000558001116
1,4,111.0,80,2155,14.8,1977,buick opel isuzu deluxe,30.00005314296343
2,4,79.0,58,1825,18.6,1977,renault 5 gtl,36.000063771556114
1,4,122.0,96,2300,15.5,1977,plymouth arrow gs,25.500045171518916
3,4,85.0,70,1945,16.8,1977,datsun f-10 hatchback,33.50005934297583
1,8,305.0,145,3880,12.5,1977,chevrolet caprice classic,17.500031000062002
1,8,260.0,110,4060,19.0,1977,oldsmobile cutlass supreme,17.000030114345943
1,8,318.0,145,4140,13.7,1977,dodge monaco brougham,15.500027457197772
1,8,302.0,130,4295,14.9,1977,mercury cougar brougham,15.000026571481715
1,6,250.0,110,3520,16.4,1977,chevrolet concours,17.500031000062002
1,6,231.0,105,3425,16.9,1977,buick skylark,20.500036314358344
1,6,225.0,100,3630,17.7,1977,plymouth volare custom,19.00003365721017
1,6,250.0,98,3525,19.0,1977,ford granada,18.500032771494116
1,8,400.0,180,4220,11.1,1977,pontiac grand prix lj,16.00002834291383
1,8,350.0,170,4165,11.4,1977,chevrolet monte carlo landau,15.500027457197772
1,8,400.0,190,4325,12.2,1977,chrysler cordoba,15.500027457197772
1,8,351.0,149,4335,14.5,1977,ford thunderbird,16.00002834291383
2,4,97.0,78,1940,14.5,1977,volkswagen rabbit custom,29.00005137153131
1,4,151.0,88,2740,16.0,1977,pontiac sunbird coupe,24.5000434000868
3,4,97.0,75,2265,18.2,1977,toyota corolla liftback,26.00004605723497
1,4,140.0,89,2755,15.8,1977,ford mustang ii 2+2,25.500045171518916
1,4,98.0,63,2051,17.0,1977,chevrolet chevette,30.50005402867948
1,4,98.0,83,2075,15.9,1977,dodge colt m/m,33.50005934297583
3,4,97.0,67,1985,16.4,1977,subaru dl,30.00005314296343
2,4,97.0,78,2190,14.1,1977,volkswagen dasher,30.50005402867948
3,6,146.0,97,2815,14.5,1977,datsun 810,22.000038971506513
2,4,121.0,110,2600,12.8,1977,bmw 320i,21.500038085790457
3,3,80.0,110,2720,13.5,1977,mazda rx-4,21.500038085790457
2,4,90.0,48,1985,21.5,1978,volkswagen rabbit custom diesel,43.10007634872414
1,4,98.0,66,1800,14.4,1978,ford fiesta,36.10006394869933
3,4,78.0,52,1985,19.4,1978,mazda glc deluxe,32.800058102973345
3,4,85.0,70,2070,18.6,1978,datsun b210 gx,39.400069794425306
3,4,91.0,60,1800,16.4,1978,honda civic cvcc,36.10006394869933
1,8,260.0,110,3365,15.5,1978,oldsmobile cutlass salon brougham,19.90003525149907
1,8,318.0,140,3735,13.2,1978,dodge diplomat,19.400034365783018
1,8,302.0,139,3570,12.8,1978,mercury monarch ghia,20.200035782928712
1,6,231.0,105,3535,19.2,1978,pontiac phoenix lj,19.200034011496594
1,6,200.0,95,3155,18.2,1978,chevrolet malibu,20.500036314358344
1,6,200.0,85,2965,15.8,1978,ford fairmont (auto),20.200035782928712
1,4,140.0,88,2720,15.4,1978,ford fairmont (man),25.10004446294607
1,6,225.0,100,3430,17.2,1978,plymouth volare,20.500036314358344
1,6,232.0,90,3210,17.2,1978,amc concord,19.400034365783018
1,6,231.0,105,3380,15.8,1978,buick century special,20.600036491501555
1,6,200.0,85,3070,16.7,1978,mercury zephyr,20.80003684578798
1,6,225.0,110,3620,18.7,1978,dodge aspen,18.600032948637327
1,6,258.0,120,3410,15.1,1978,amc concord d/l,18.10003206292127
1,8,305.0,145,3425,13.2,1978,chevrolet monte carlo landau,19.200034011496594
1,6,231.0,165,3445,13.4,1978,buick regal sport coupe (turbo),17.700031354348422
1,8,302.0,139,3205,11.2,1978,ford futura,18.10003206292127
1,8,318.0,140,4080,13.7,1978,dodge magnum xe,17.500031000062002
1,4,98.0,68,2155,16.5,1978,chevrolet chevette,30.00005314296343
3,4,134.0,95,2560,14.2,1978,toyota corona,27.500048714383144
3,4,119.0,97,2300,14.7,1978,datsun 510,27.20004818295351
1,4,105.0,75,2230,14.5,1978,dodge omni,30.90005473725233
3,4,134.0,95,2515,14.8,1978,toyota celica gt liftback,21.100037377217614
1,4,156.0,105,2745,16.7,1978,plymouth sapporo,23.20004109722505
1,4,151.0,85,2855,17.6,1978,oldsmobile starfire sx,23.800042160084327
3,4,119.0,97,2405,14.9,1978,datsun 200-sx,23.900042337227532
2,5,131.0,103,2830,15.9,1978,audi 5000,20.30003596007192
2,6,163.0,125,3140,13.6,1978,volvo 264gl,17.000030114345943
2,4,121.0,115,2795,15.7,1978,saab 99gle,21.600038262933673
2,6,163.0,133,3410,15.8,1978,peugeot 604sl,16.200028697200253
2,4,89.0,71,1990,14.9,1978,volkswagen scirocco,31.5000558001116
3,4,98.0,68,2135,16.6,1978,honda accord lx,29.500052257247372
1,6,231.0,115,3245,15.4,1979,pontiac lemans v6,21.500038085790457
1,6,200.0,85,2990,18.2,1979,mercury zephyr 6,19.800035074355865
1,4,140.0,88,2890,17.3,1979,ford fairmont 4,22.300039502936155
1,6,232.0,90,3265,18.2,1979,amc concord dl 6,20.200035782928712
1,6,225.0,110,3360,16.6,1979,dodge aspen 6,20.600036491501555
1,8,305.0,130,3840,15.4,1979,chevrolet caprice classic,17.000030114345943
1,8,302.0,129,3725,13.4,1979,ford ltd landau,17.60003117720521
1,8,351.0,138,3955,13.2,1979,mercury grand marquis,16.500029228629888
1,8,318.0,135,3830,15.2,1979,dodge st. regis,18.20003224006448
1,8,350.0,155,4360,14.9,1979,buick estate wagon (sw),16.90002993720273
1,8,351.0,142,4054,14.3,1979,ford country squire (sw),15.500027457197772
1,8,267.0,125,3605,15.0,1979,chevrolet malibu classic (sw),19.200034011496594
1,8,360.0,150,3940,13.0,1979,chrysler lebaron town @ country (sw),18.500032771494116
2,4,89.0,71,1925,14.0,1979,vw rabbit custom,31.90005650868444
3,4,86.0,65,1975,15.2,1979,maxda glc deluxe,34.1000604058351
1,4,98.0,80,1915,14.4,1979,dodge colt hatchback custom,35.70006324012649
1,4,121.0,80,2670,15.0,1979,amc spirit dl,27.400048537239933
2,5,183.0,77,3530,20.1,1979,mercedes benz 300d,25.400044994375698
1,8,350.0,125,3900,17.4,1979,cadillac eldorado,23.00004074293863
2,4,141.0,71,3190,24.8,1979,peugeot 504,27.20004818295351
1,8,260.0,90,3420,22.2,1979,oldsmobile cutlass salon brougham,23.900042337227532
1,4,105.0,70,2200,13.2,1979,plymouth horizon,34.20006058297831
1,4,105.0,70,2150,14.9,1979,plymouth horizon tc3,34.50006111440794
3,4,85.0,65,2020,19.2,1979,datsun 210,31.80005633154124
2,4,91.0,69,2130,14.7,1979,fiat strada custom,37.30006607441786
1,4,151.0,90,2670,16.0,1979,buick skylark limited,28.400050308672046
1,6,173.0,115,2595,11.3,1979,chevrolet citation,28.800051017244897
1,6,173.0,115,2700,12.9,1979,oldsmobile omega brougham,26.80004747438066
1,4,151.0,90,2556,13.2,1979,pontiac phoenix,33.50005934297583
2,4,98.0,76,2144,14.7,1980,vw rabbit,41.50007351443275
3,4,89.0,60,1968,18.8,1980,toyota corolla tercel,38.10006749156356
1,4,98.0,70,2120,15.5,1980,chevrolet chevette,32.10005686297087
3,4,86.0,65,2019,16.4,1980,datsun 310,37.200065897274655
1,4,151.0,90,2678,16.5,1980,chevrolet citation,28.000049600099192
1,4,140.0,88,2870,18.1,1980,ford fairmont,26.400046765807815
1,4,151.0,90,3003,20.1,1980,amc concord,24.300043045800386
1,6,225.0,90,3381,18.7,1980,dodge aspen,19.100033834353386
2,4,97.0,78,2188,15.8,1980,audi 4000,34.30006076012152
3,4,134.0,90,2711,15.5,1980,toyota corona liftback,29.800052788677007
3,4,120.0,75,2542,17.5,1980,mazda 626,31.300055445825183
3,4,119.0,92,2434,15.0,1980,datsun 510 hatchback,37.00006554298823
3,4,108.0,75,2265,15.2,1980,toyota corolla,32.20005704011408
3,4,86.0,65,2110,17.9,1980,mazda glc,46.60008254873654
1,4,156.0,105,2800,14.4,1980,dodge colt,27.900049422955984
3,4,85.0,65,2110,19.2,1980,datsun 210,40.800072274430256
2,4,90.0,48,2085,21.7,1980,vw rabbit c (diesel),44.300078474442664
2,4,90.0,48,2335,23.7,1980,vw dasher (diesel),43.40007688015377
2,5,121.0,67,2950,19.9,1980,audi 5000s (diesel),36.40006448012896
2,4,146.0,67,3250,21.8,1980,mercedes-benz 240d,30.00005314296343
3,4,91.0,67,1850,13.8,1980,honda civic 1500 gl,44.6000790058723
2,4,85.0,?,1835,17.3,1980,renault lecar deluxe,40.90007245157347
3,4,97.0,67,2145,18.0,1980,subaru dl,33.80005987440546
2,4,89.0,62,1845,15.3,1980,vokswagen rabbit,29.800052788677007
3,6,168.0,132,2910,11.4,1980,datsun 280-zx,32.70005792583014
3,3,70.0,100,2420,12.5,1980,mazda rx-7 gs,23.70004198294111
2,4,122.0,88,2500,15.1,1980,triumph tr7 coupe,35.000062000124
1,4,140.0,?,2905,14.3,1980,ford mustang cobra,23.6000418057979
3,4,107.0,72,2290,17.0,1980,honda accord,32.4000573944005
1,4,135.0,84,2490,15.7,1981,plymouth reliant,27.20004818295351
1,4,151.0,84,2635,16.4,1981,buick skylark,26.600047120094242
1,4,156.0,92,2620,14.4,1981,dodge aries wagon (sw),25.80004570294855
1,6,173.0,110,2725,12.6,1981,chevrolet citation,23.500041628654685
1,4,135.0,84,2385,12.9,1981,plymouth reliant,30.00005314296343
3,4,79.0,58,1755,16.9,1981,toyota starlet,39.10006926299567
1,4,86.0,64,1875,16.4,1981,plymouth champ,39.00006908585246
3,4,81.0,60,1760,16.1,1981,honda civic 1300,35.10006217726721
3,4,97.0,67,2065,17.8,1981,subaru,32.30005721725729
3,4,85.0,65,1975,19.4,1981,datsun 210 mpg,37.00006554298823
3,4,89.0,62,2050,17.3,1981,toyota tercel,37.70006678299071
3,4,91.0,68,1985,16.0,1981,mazda glc 4,34.1000604058351
1,4,105.0,63,2215,14.9,1981,plymouth horizon 4,34.700061468694365
1,4,98.0,65,2045,16.2,1981,ford escort 4w,34.400060937264726
1,4,98.0,65,2380,20.7,1981,ford escort 2h,29.900052965820223
2,4,105.0,74,2190,14.2,1981,volkswagen jetta,33.000058457259776
2,4,100.0,?,2320,15.8,1981,renault 18i,34.50006111440794
3,4,107.0,75,2210,14.4,1981,honda prelude,33.700059697262255
3,4,108.0,75,2350,16.8,1981,toyota corolla,32.4000573944005
3,4,119.0,100,2615,14.8,1981,datsun 200sx,32.90005828011656
3,4,120.0,74,2635,18.3,1981,mazda 626,31.600055977254815
2,4,141.0,80,3230,20.4,1981,peugeot 505s turbo diesel,28.100049777242415
2,6,145.0,76,3160,19.6,1981,volvo diesel,30.700054382965913
3,6,168.0,116,2900,12.6,1981,toyota cressida,25.400044994375698
3,6,146.0,120,2930,13.8,1981,datsun 810 maxima,24.200042868657167
1,6,231.0,110,3415,15.8,1981,buick century,22.400039680079356
1,8,350.0,105,3725,19.0,1981,oldsmobile cutlass ls,26.600047120094242
1,6,200.0,88,3060,17.1,1981,ford granada gl,20.200035782928712
1,6,225.0,85,3465,16.6,1981,chrysler lebaron salon,17.60003117720521
1,4,112.0,88,2605,19.6,1982,chevrolet cavalier,28.000049600099192
1,4,112.0,88,2640,18.6,1982,chevrolet cavalier wagon,27.000047828667093
1,4,112.0,88,2395,18.0,1982,chevrolet cavalier 2-door,34.000060228691886
1,4,112.0,85,2575,16.2,1982,pontiac j2000 se hatchback,31.000054914395545
1,4,135.0,84,2525,16.0,1982,dodge aries se,29.00005137153131
1,4,151.0,90,2735,18.0,1982,pontiac phoenix,27.000047828667093
1,4,140.0,92,2865,16.4,1982,ford fairmont futura,24.00004251437074
1,4,151.0,?,3035,20.5,1982,amc concord dl,23.00004074293863
2,4,105.0,74,1980,15.3,1982,volkswagen rabbit l,36.000063771556114
3,4,91.0,68,2025,18.2,1982,mazda glc custom l,37.00006554298823
3,4,91.0,68,1970,17.6,1982,mazda glc custom,31.000054914395545
1,4,105.0,63,2125,14.7,1982,plymouth horizon miser,38.00006731442034
1,4,98.0,70,2125,17.3,1982,mercury lynx l,36.000063771556114
3,4,120.0,88,2160,14.5,1982,nissan stanza xe,36.000063771556114
3,4,107.0,75,2205,14.5,1982,honda accord,36.000063771556114
3,4,108.0,70,2245,16.9,1982,toyota corolla,34.000060228691886
3,4,91.0,67,1965,15.0,1982,honda civic,38.00006731442034
3,4,91.0,67,1965,15.7,1982,honda civic (auto),32.00005668582766
3,4,91.0,67,1995,16.2,1982,datsun 310 gx,38.00006731442034
1,6,181.0,110,2945,16.4,1982,buick century limited,25.00004428580286
1,6,262.0,85,3015,17.0,1982,oldsmobile cutlass ciera (diesel),38.00006731442034
1,4,156.0,92,2585,14.5,1982,chrysler lebaron medallion,26.00004605723497
1,6,232.0,112,2835,14.7,1982,ford granada l,22.000038971506513
3,4,144.0,96,2665,13.9,1982,toyota celica gt,32.00005668582766
1,4,135.0,84,2370,13.0,1982,dodge charger 2.2,36.000063771556114
1,4,151.0,90,2950,17.3,1982,chevrolet camaro,27.000047828667093
1,4,140.0,86,2790,15.6,1982,ford mustang gl,27.000047828667093
2,4,97.0,52,2130,24.6,1982,vw pickup,44.000077943013025
1,4,135.0,84,2295,11.6,1982,dodge rampage,32.00005668582766
1,4,120.0,79,2625,18.6,1982,ford ranger,28.000049600099192
1,4,119.0,82,2720,19.4,1982,chevy s-10,31.000054914395545
